,Ax,Ay,Az,Gx,Gy,Gz,label
201,4.97,6.03,-4.49,0.52,0.72,-0.6,1
202,24.22,9.6,7.84,3.68,2.11,-1.11,1
203,11.12,-2.81,4.16,2.06,0.12,-0.54,1
204,5.81,-7.87,1.37,-0.23,-1,0.69,1
205,17.03,-4.34,9.95,-2.09,-0.39,0.85,1
206,7.61,6.21,4,-2.31,-0.18,-0.43,1
207,3.27,6.43,-1.15,-1.19,0.14,-0.53,1
208,5.86,4.05,-2.88,1.08,-0.06,-0.5,1
209,18,4.63,8.15,2.97,1.88,-0.74,1
210,12.33,-1.54,4.4,1.59,0.09,-0.26,1
211,8.49,-6.39,3.46,-0.68,-0.72,1.65,1
212,22.49,5.49,9.91,-2.15,-1,1.08,1
213,6.48,6.53,-0.48,-2.1,-0.74,-0.6,1
214,0.35,5,-3.05,-0.47,0.13,-0.18,1
215,10.35,8.52,-1.02,2.34,1.86,-0.75,1
216,17.37,3.54,6.51,2.68,0.87,-1.08,1
217,9.87,-4.26,5.15,0.97,-0.31,0.26,1
218,7.44,-4.45,6.86,-1.22,-0.68,1.78,1
219,20.48,10.26,16.61,-1.38,0.74,1.4,1
220,6.32,6.27,-4.51,-1.53,-0.96,-0.43,1
221,0.94,4.93,-4.51,0.26,-0.74,0.14,1
222,11,9.65,-0.8,3.52,2.35,-0.61,1
223,10.46,4.21,5.6,2.75,0.02,-1.13,1
224,10.95,0.51,5.46,2.47,1.64,0.47,1
225,7.8,-3.32,1.58,0.88,0.15,1.84,1
226,12.69,11.1,14.3,0.39,1.02,2.3,1
227,8.69,6.3,0.64,1.03,0.1,0.47,1
228,4.57,5.15,-1.03,1.9,-0.25,0.84,1
229,12.02,8.79,2.99,3.81,1.08,0.52,1
230,17.82,4.3,11.65,3.98,1.08,-0.49,1
231,11.67,-2.72,1.47,2.31,0.76,0.97,1
232,10.72,-1,2.43,0.78,-0.47,2.93,1
233,13.12,2.58,9.68,-0.42,-1.22,2.2,1
234,2.38,3.02,-0.41,0.11,-0.27,-0.67,1
235,3.36,4.63,0.5,1.07,-0.04,-1.01,1
236,14.15,7.07,7.15,3.3,0.9,-0.98,1
237,17.47,0.84,1.74,2.62,1.95,-0.77,1
238,9.51,-3.31,0,0.99,0.12,1.25,1
239,10.02,-5.93,5.03,-0.61,0.44,2.79,1
240,14.04,5.77,5.33,-2.51,-0.68,0.75,1
241,3.08,7.08,-1.01,-1.19,-0.52,-0.88,1
242,3.85,6.35,-0.13,0.26,0.23,-0.69,1
243,14.86,6.04,4.64,1.9,1.02,-1.01,1
244,11.49,-1.19,2.6,1.33,1.4,-0.33,1
245,9.9,-4.7,1.27,-0.43,0.53,1.57,1
246,13.18,-0.3,5.57,-1.85,-0.97,1.04,1
247,5.21,7.66,3.5,-2.22,-1,-0.67,1
248,3.68,5.82,-0.04,-0.16,0.86,-0.63,1
249,7.38,5.22,-0.48,0.93,0.33,-0.34,1
250,15.43,4.59,5.2,2.06,1.01,-0.81,1
251,10.84,-2.05,3.29,1.1,0.82,0.08,1
252,8,-3.38,2.87,-0.93,0.07,2.14,1
253,22.03,5.34,8.73,-1.64,-0.54,0.74,1
254,4.74,6.11,-0.03,-1.29,-1.42,-0.9,1
255,-0.83,4.28,-1.95,-0.04,-0.01,-0.67,1
256,11.66,5.82,0.74,2.02,1.32,-0.84,1
257,18.51,2.83,9.37,1.56,1.06,-0.5,1
258,6.66,-4.47,0.01,0.28,-0.04,0.72,1
259,8.74,-5.53,4.55,-1.49,-0.36,1.94,1
260,19.5,7.86,9.93,-2.64,-1.14,0.41,1
261,3.46,7.1,-1.67,-1.52,-1,-1.31,1
262,0.43,5.59,-4.51,0.47,0.44,-0.68,1
